scenario,policy,mode,final_G,final_H,final_D,avg_G_tail,avg_H_tail,avg_D_tail,avg_free_riding_tail,avg_welfare_tail,avg_policy_cost_tail,avg_Q_tail,avg_effort_tail,avg_effort_gini_tail,stability_tail,baseline_free_riding,baseline_pressure,baseline_welfare,baseline_policy_cost,free_riding_reduction_vs_baseline,pressure_reduction_vs_baseline,welfare_gain_vs_baseline,cost_effectiveness
rapid_growth,reputation,nash,1.121321464800467,0.417102994946352,1.212859291740266,1.1490833136045087,0.34868683245616783,1.080936352241561,0.02857142857142857,81.31407349692209,0.12395197169818925,9.426842620447989,0.28128240650917335,0.37508347862978836,-0.02560986308749366,0.2,0.483522087469372,68.4356826108106,0.0,0.17142857142857143,0.13483525501320415,12.87839088611149,103.8982334017977
rapid_growth,matching_fund,nash,0.9368558875957694,0.5431006081360296,1.0652550606513502,0.9583616018433054,0.49900612347838547,0.961835852628978,0.20357142857142857,72.69493352486583,0.2734761204844426,2.494034092822834,0.07441527088012043,0.580600744715977,-0.021322625774812337,0.2,0.483522087469372,68.4356826108106,0.0,-0.0035714285714285587,-0.015484036009013491,4.2592509140552295,15.574489306453096
rapid_growth,threshold_governance,nash,1.0478470646643936,0.4507887371223916,1.1731501066022163,1.0828350364651822,0.39145252280856996,1.0500893975727938,0.08571428571428572,76.18842146810378,3.0162,3.5320809619426177,0.10674714198198496,0.543630406464982,-0.022933227379892285,0.2,0.483522087469372,68.4356826108106,0.0,0.1142857142857143,0.09206956466080202,7.752738857293181,2.5703663077027987
rapid_growth,combined_portfolio,nash,1.2215884021112506,0.33945359660593316,1.2735596139492946,1.2460459418696743,0.25818555461996184,1.127045391034177,0.0,80.66867817738351,4.738514156950732,11.838613559055574,0.35216915140624533,0.3849170081078914,-0.02793119997333804,0.2,0.483522087469372,68.4356826108106,0.0,0.2,0.22533653284941013,12.23299556657291,2.581610007143026
critical_infrastructure,baseline,nash,0.779292592403527,0.5572865364291876,0.9333324659790472,0.7971924694932343,0.5325017778184489,0.8947916122736823,0.2857142857142857,66.51918632616379,0.0,2.527716579698135,0.07524654454820416,0.45075318480844806,0.002940068776953103,0.2857142857142857,0.5325017778184489,66.51918632616379,0.0,0.0,0.0,0.0,
critical_infrastructure,subsidy,nash,1.1624833125675422,0.4332998697597376,1.1152980396507222,1.1839143479237988,0.3876949770832456,1.0499608242723748,0.05714285714285714,82.1590185739386,1.902827396380637,9.021763049621285,0.2718324851972339,0.4117296047602842,-0.00417585660808506,0.2857142857142857,0.5325017778184489,66.51918632616379,0.0,0.22857142857142856,0.1448068007352033,15.639832247774805,8.219259548986571
critical_infrastructure,penalty,nash,0.9911431612495941,0.5026204516781416,1.0230002005343755,1.012076923592426,0.4688132466468086,0.9715738493036827,0.0,76.59393691295031,0.35000000000000003,4.127451050537015,0.12555468698756733,0.39233647702473784,-0.0010268524557453529,0.2857142857142857,0.5325017778184489,66.51918632616379,0.0,0.2857142857142857,0.06368853117164025,10.074750586786521,28.785001676532914
critical_infrastructure,reputation,nash,1.1574159491343974,0.43672656044104663,1.1117360682476598,1.1789555384003991,0.3915137722948726,1.0469408900799104,0.0,83.74498102026904,0.12109040269157102,8.761830317800776,0.2646914630711793,0.35809881550275385,-0.004086053698781317,0.2857142857142857,0.5325017778184489,66.51918632616379,0.0,0.2857142857142857,0.14098800552357627,17.225794694105247,142.25565619746936
critical_infrastructure,matching_fund,nash,0.9246690624800971,0.5760880679197844,0.9628985006253644,0.9394097504326314,0.5493668517398651,0.9197357005654165,0.2857142857142857,72.76675912676944,0.2704200334569531,2.471683235986548,0.07358368257332058,0.4502865128150261,-0.00015237189266742446,0.2857142857142857,0.5325017778184489,66.51918632616379,0.0,0.0,-0.01686507392141623,6.247572800605653,23.103217319881647
critical_infrastructure,threshold_governance,nash,1.0156588136438307,0.47941495161297115,1.045002494914215,1.0417586012986688,0.4429120215205349,0.9904942827103722,0.08928571428571429,75.61529103864055,3.0168749999999998,3.1727138897058214,0.0960469214987978,0.39929293601055293,-0.0008201105340212844,0.2857142857142857,0.5325017778184489,66.51918632616379,0.0,0.1964285714285714,0.08958975629791399,9.096104712476759,3.0150751066838235
critical_infrastructure,combined_portfolio,nash,1.273133414322745,0.3655891856061153,1.1894680998799207,1.292808515996103,0.31052836703631187,1.11231297350646,0.0,83.80977264436638,4.5930164215158635,10.925799692065544,0.329755995799789,0.360484875808108,-0.006044019451192928,0.2857142857142857,0.5325017778184489,66.51918632616379,0.0,0.2857142857142857,0.221973410782137,17.290586318202585,3.7645383189150583
burnout_prone,baseline,nash,0.11277624547879489,0.5794712355361284,0.6783947780643554,0.13055102780949976,0.5674218845543949,0.6768580807549014,0.22857142857142856,7.167581819280576,0.0,2.598011399774817,0.0747560986696767,0.41162555952655566,0.01775082396955395,0.22857142857142856,0.5674218845543949,7.167581819280576,0.0,0.0,0.0,0.0,
burnout_prone,subsidy,nash,0.6745998474083756,0.5378194075088706,0.7864980948652996,0.7054424486024614,0.5104817067645957,0.76904703877849,0.11785714285714285,40.28636319606545,1.1532621908874576,5.635899703980353,0.1647517415553511,0.38975806318722084,-0.0024859766509202075,0.22857142857142856,0.5674218845543949,7.167581819280576,0.0,0.11071428571428571,0.05694017778979921,33.118781376784874,28.717477810747727
burnout_prone,penalty,nash,0.40261160878963953,0.5581291694450828,0.7371174266283964,0.4355514651721082,0.5383109222005604,0.7275277360342514,0.02857142857142857,28.615673557075578,0.36050000000000004,3.2797207852612638,0.0960697044768867,0.3980188684789491,0.0033430930301566186,0.22857142857142856,0.5674218845543949,7.167581819280576,0.0,0.19999999999999998,0.02911096235383448,21.448091737795004,59.4954001048405
burnout_prone,reputation,nash,0.6869445850785856,0.5351874985656353,0.7893312900769441,0.7178493588293768,0.5073447002694134,0.7714355633802574,0.05714285714285714,41.81170698158729,0.10094980814368507,5.804839895198903,0.1705174683570061,0.3395370907126132,-0.002697699323243652,0.22857142857142856,0.5674218845543949,7.167581819280576,0.0,0.17142857142857143,0.060077184284981544,34.644125162306715,343.18168404041575
burnout_prone,matching_fund,nash,0.33930655874361365,0.6164560652989013,0.7065214070650669,0.3573976576446124,0.6010785953772542,0.7007578441030441,0.22857142857142856,23.607947263499206,0.24034922093637834,2.274647299739857,0.06540114855411656,0.41097912875974574,0.004305775042815013,0.22857142857142856,0.5674218845543949,7.167581819280576,0.0,0.0,-0.03365671082285926,16.440365444218628,68.4019918191059
burnout_prone,threshold_governance,nash,0.5029341923039223,0.5038194633078948,0.7659341170769641,0.5400417082428645,0.48012380262304005,0.7519277934789165,0.1357142857142857,32.14022439516422,3.02565,2.5127171414402816,0.07298996929169098,0.4081535738723492,0.002510559792902961,0.22857142857142856,0.5674218845543949,7.167581819280576,0.0,0.09285714285714286,0.08729808193135485,24.97264257588364,8.25364552274177
burnout_prone,combined_portfolio,nash,0.9432659944519174,0.446287476181655,0.8580052077799629,0.9706273320714643,0.4079948390881353,0.8291408127751544,0.0,47.84755880974993,3.7980436190907536,7.069032953054609,0.20771877165597172,0.3461171911384088,-0.006417120815478822,0.22857142857142856,0.5674218845543949,7.167581819280576,0.0,0.22857142857142856,0.15942704546625963,40.67997699046935,10.7107714050446
