time,policy,active_contributors,conditional_contributors,free_riders,avg_payoff
15,reputation,0.22228921032808682,0.2995829389450246,0.4781278507268885,0.7450954195832522
16,reputation,0.22532963680991444,0.2922076621844473,0.4824627010056383,0.7393586900063325
17,reputation,0.2279719128574515,0.28518205583666084,0.4868460313058876,0.7399578798171997
18,reputation,0.2303611500613012,0.2782405179960855,0.49139833194261334,0.7446173566286747
19,reputation,0.2329453193238842,0.2715060212192236,0.4955486594568923,0.7486562431158197
20,reputation,0.23556891263403623,0.26484524120199454,0.4995858461639694,0.7461123467924464
21,reputation,0.23811539903401738,0.2582324741656666,0.5036521268003162,0.7452541592789215
22,reputation,0.24119934527334086,0.2515390313385811,0.5072616233880779,0.741918089213297
23,reputation,0.24352051954335882,0.2448589365724134,0.5116205438842278,0.7504150113604182
24,reputation,0.24598578363952425,0.23860695361192968,0.515407262748546,0.7452364286871502
25,reputation,0.2485741184554822,0.23245838534502647,0.5189674961994913,0.7451917764580177
26,reputation,0.25108307580821915,0.22623596242226024,0.5226809617695206,0.7511682973890943
27,reputation,0.253209892708604,0.22019364522299473,0.5265964620684014,0.745219224729631
28,reputation,0.2553783490046744,0.21435754630939086,0.5302641046859348,0.7474810705179189
29,reputation,0.2573290694260857,0.20864752604183284,0.5340234045320814,0.7448552972973499
0,penalty,0.18172782095149367,0.4245478241132222,0.393724354935284,0.503715041502419
1,penalty,0.18340130644134026,0.42877986632565784,0.3878188272330019,0.5088561015285353
2,penalty,0.18470618406208933,0.4335765720378338,0.38171724390007694,0.5151691476372545
3,penalty,0.18635936333695752,0.43815560630623956,0.37548503035680286,0.5207061483400393
4,penalty,0.18769584927378052,0.44310834842016084,0.3691958023060587,0.5259863560322613
5,penalty,0.1885791828397012,0.4478129501525514,0.36360786700774744,0.5311130524194843
6,penalty,0.18926056746371556,0.4524275088168091,0.35831192371947534,0.5383570174398946
7,penalty,0.19035269467973528,0.4565919561115256,0.3530553492087391,0.5407286608442406
8,penalty,0.19090884002686992,0.4619375885575778,0.3471535714155521,0.5475005550741779
9,penalty,0.1918667938096358,0.4662178271259631,0.34191537906440106,0.5481568252831105
10,penalty,0.1926295154928231,0.4708064210081281,0.33656406349904894,0.5469912028005199
11,penalty,0.19310120452418922,0.47538432308444667,0.33151447239136417,0.5509326815299671
12,penalty,0.1940185077897426,0.4799306149372749,0.32605087727298254,0.5567775189963841
13,penalty,0.19481283753874565,0.48422168395602067,0.32096547850523366,0.5648534551490625
14,penalty,0.1952564122850193,0.4880820999593158,0.316661487755665,0.562522462906611
15,penalty,0.19530930247856773,0.49318863768327253,0.31150205983815965,0.5724064881656116
16,penalty,0.1960687359823389,0.4972004021397685,0.3067308618778926,0.5673631413532219
17,penalty,0.19638769838332473,0.5015469288685358,0.3020653727481395,0.5716170716957732
18,penalty,0.19644868011727476,0.5059054285555147,0.2976458913272107,0.5789695869072236
19,penalty,0.19658673768978588,0.5103706490282334,0.2930426132819807,0.5866481501256038
20,penalty,0.1967062865378189,0.5147926151377228,0.2885010983244584,0.5868689743496976
21,penalty,0.19672654642515197,0.5191489707115584,0.2841244828632896,0.5883765241713541
22,penalty,0.1971634678341225,0.523185411496821,0.2796511206690566,0.5871430397346245
23,penalty,0.1970014161088371,0.527183687243626,0.27581489664753683,0.5965777768683542
24,penalty,0.19680683440683708,0.5315716539156895,0.27162151167747334,0.5959580037899446
25,penalty,0.19665899241303025,0.5359243996983062,0.2674166078886636,0.5984021948165631
26,penalty,0.19647487468240152,0.5400235461711926,0.2635015791464059,0.6052225700494279
27,penalty,0.1959526804991824,0.5442582611350822,0.25978905836573535,0.601452509493493
28,penalty,0.1953902230252926,0.548609839197779,0.2559999377769284,0.6066499254306428
29,penalty,0.19463453766759806,0.5530053492625353,0.25236011306986667,0.6060022884881433
0,combined_portfolio,0.18518038242390547,0.4190938879180792,0.3957257296580153,0.6933750415024189
1,combined_portfolio,0.19045228365993522,0.41789960110297264,0.39164811523709225,0.6986526316837578
2,combined_portfolio,0.19548837435332542,0.41729216181097534,0.3872194638356991,0.7052131886291386
3,combined_portfolio,0.20103158146552627,0.4164876885808403,0.3824807299536335,0.7112543422864035
4,combined_portfolio,0.20638775567397524,0.4160808806668385,0.3775313636591863,0.7170110396298935
5,combined_portfolio,0.21138212290438413,0.415475823693094,0.3731420534025218,0.7228110725332171
6,combined_portfolio,0.2162706570364115,0.4148206290698108,0.3689087138937775,0.7309090218189342
7,combined_portfolio,0.2217261565133058,0.413740082748755,0.364533760737939,0.7347028365256472
8,combined_portfolio,0.22672397324107044,0.4138465267738847,0.3594294999850448,0.7419332370238553
9,combined_portfolio,0.23226987659622322,0.41294180447654355,0.3547883189272333,0.744606437466949
10,combined_portfolio,0.23771293545483002,0.41237110273401156,0.34991596181115847,0.7447181817674068
11,combined_portfolio,0.24291660766408446,0.41184437240459165,0.34523901993132383,0.750095594016313
12,combined_portfolio,0.24876285917932328,0.4112744620703597,0.339962678750317,0.7580740741151877
13,combined_portfolio,0.25455735249579353,0.4105074408420801,0.33493520666212634,0.768207608983893
14,combined_portfolio,0.25999162807526616,0.4094122211960369,0.3305961507286969,0.7679796161781531
15,combined_portfolio,0.26508244477762055,0.40954274282879727,0.3253748123935823,0.7786167517038085
16,combined_portfolio,0.2711008135721747,0.40860821003918635,0.32029097638863907,0.77743654969952
17,combined_portfolio,0.2766556946186519,0.40807129996294356,0.3152730054184046,0.7833372340377897
18,combined_portfolio,0.28194620956900907,0.4076176440840035,0.3104361463469873,0.7927675712379437
19,combined_portfolio,0.28741230360345943,0.40728019205262894,0.30530750434391174,0.8029411464164322
20,combined_portfolio,0.29291559709002785,0.40693973500564484,0.30014466790432726,0.8057633785295397
21,combined_portfolio,0.2983385990810472,0.4065926086441076,0.2950687922748452,0.8098430634535126
22,combined_portfolio,0.30436901364586816,0.4059107877047338,0.2897201986493982,0.8124713646629435
23,combined_portfolio,0.30961497889863604,0.4053554342426614,0.28502958685870255,0.8237651860048399
24,combined_portfolio,0.3148849426140867,0.4051831544033485,0.2799319029825647,0.8255233954488924
25,combined_portfolio,0.32025561794766316,0.40500375743783196,0.274740624614505,0.8309926691635304
26,combined_portfolio,0.3255851383376283,0.40464930768745677,0.269765553974915,0.8409733454495407
27,combined_portfolio,0.33045855811883734,0.4045368617252922,0.26500458015587036,0.8392340964537737
28,combined_portfolio,0.3352981132542924,0.404573846240266,0.26012804050544164,0.8471104544644447
29,combined_portfolio,0.3398640752499595,0.4047437833170831,0.2553921414329576,0.8488044793811402
